run_id,skew,row_bytes,cores,exec_mem,partitions,aqe,codec,rep,wall_seconds,actual_size_skew,actual_time_skew,aqe_read_coalesced,aqe_read_skewed,aqe_split_detected,aqe_updates,cpu_ms_total,delta_ctxt,delta_pgpgout_kb,delta_psi_cpu_some_us,delta_psi_io_full_us,delta_psi_mem_full_us,dropped_caches,error,fetch_wait_ms_total,gc_ms_max_task,gc_ms_total,input,n_reduce_tasks,n_samples,n_tasks_total,peak_dirty_kb,peak_exec_mem_max,peak_writeback_kb,record_skew,reduce_stage_id,remote_to_disk_total,run_dir,run_ms_total,shuffle_compress,skew_mode,smj_skew,spill_disk_max_task,spill_disk_total,spill_mem_total,sr_bytes_max,sr_bytes_median,sr_records_max,tag,task_ms_max,task_ms_p50,task_ms_p90,task_ms_p99,task_ms_sum,workload
s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep0,1.0,64,4,1500m,200,False,lz4,0,20.288,1.4387207836257045,3.4794520547945207,False,False,False,0,14203,439837,1907540,90661,4129105,1,True,,0,12,296,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,200,115,305,6058020,76611440,16208,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep0_2e89af,14615,True,record,False,0,0,0,57977591,40298014.5,29993,s4,254,73.0,93,245,15520,join
s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep1,1.0,64,4,1500m,200,False,lz4,1,20.533,1.4387207836257045,3.7916666666666665,False,False,False,0,14447,441988,1901296,75731,4072897,0,True,,0,12,329,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,200,115,305,6043288,76611440,8556,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep1_0f5a74,14903,True,record,False,0,0,0,57977591,40298014.5,29993,s4,273,72.0,93,267,15847,join
s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep2,1.0,64,4,1500m,200,False,lz4,2,20.556,1.4387207836257045,3.527027027027027,False,False,False,0,14314,433704,1905652,80047,4063227,0,True,,0,15,322,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,200,115,305,6062880,76611440,16128,1.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe0_join_rep2_af689d,14755,True,record,False,0,0,0,57977591,40298014.5,29993,s4,261,74.0,92,254,15704,join
s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep0,1.0,64,4,1500m,200,True,lz4,0,20.119,1.5181808274910096,3.7162162162162162,True,False,False,4,14392,453251,1900076,82058,3938710,0,True,,0,15,323,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,198,113,303,6039172,76611440,16132,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep0_f2b91a,14829,True,record,False,0,0,0,61541665,40536452.5,31829,s4,275,74.0,98,264,15805,join
s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep1,1.0,64,4,1500m,200,True,lz4,1,20.427,1.5181808274910096,3.827814569536424,True,False,False,4,14426,447329,1900056,100039,3987107,1,True,,0,15,311,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,198,115,303,6057232,76611440,8192,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep1_2e6fbd,14868,True,record,False,0,0,0,61541665,40536452.5,31829,s4,289,75.5,93,283,15915,join
s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep2,1.0,64,4,1500m,200,True,lz4,2,20.231,1.5181808274910096,3.8666666666666667,True,False,False,4,14421,464900,1900052,93998,3857458,5,True,,0,13,327,/data/spark-skew-data/rec1_rb64_cb2048_p200_g8,198,115,303,6040744,76611440,16128,1.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec1_rb64_c4_m1500m_p200_aqe1_join_rep2_7df5b4,14864,True,record,False,0,0,0,61541665,40536452.5,31829,s4,290,75.0,95,285,15830,join
s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep0,1.0,64,4,1500m,200,False,lz4,0,20.299,1.6903398838021892,3.6486486486486487,False,False,False,0,14370,456555,2128860,95047,3960772,0,True,,0,15,297,/data/spark-skew-data/rec32_rb64_cb2048_p200_g8,200,115,312,6060956,134283072,8192,32.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep0_2fe91f,14805,True,record,False,0,0,0,67943488,40195163.5,663825,s4,270,74.0,91,259,15701,join
s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep1,1.0,64,4,1500m,200,False,lz4,1,20.896,1.6903398838021892,3.863013698630137,False,False,False,0,14455,479435,1892560,100879,3998812,1,True,,0,16,305,/data/spark-skew-data/rec32_rb64_cb2048_p200_g8,200,117,312,6026824,134283072,15140,32.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep1_200366,14900,True,record,False,0,0,0,67943488,40195163.5,663825,s4,282,73.0,91,280,15802,join
s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep2,1.0,64,4,1500m,200,False,lz4,2,20.32,1.6903398838021892,3.776315789473684,False,False,False,0,14675,455981,1892352,78466,3771486,0,True,,0,9,375,/data/spark-skew-data/rec32_rb64_cb2048_p200_g8,200,115,312,6026652,134283072,8192,32.0,3,0,/home/ubuntu/spark-skew/results/s4/s4_rec32_rb64_c4_m1500m_p200_aqe0_join_rep2_c29173,15191,True,record,False,0,0,0,67943488,40195163.5,663825,s4,287,76.0,93,272,16125,join
s4_rec32_rb64_c4_m1500m_p200_aqe1_join_rep0,1.0,64,4,1500m,200,True,lz4,0,20.22,1.6812123328731476,4.094594594594595,True,False,False,4,14606,468158,1892572,85333,3824921,1,True,,0,12,338,/data/spark-skew-data/rec32_rb64_cb2048_p200_g8,198,116,310,6026552,134283072,16224,32.0,5,0,/home/ubuntu/spark-skew/results/s4/s4_rec32_rb64_c4_m1500m_p200_aqe1_join_rep0_6c7802,15078,True,record,False,0,0,0,67943488,40413389.0,663825,s4,303,74.0,95,301,16052,join
